date	open	high	low	close	volume	value
2000-01-14	18840	18910	18840	18900	3140	23816
2000-01-17	19190	19220	19140	19200	8060	43766
2000-01-18	19240	19350	19230	19340	10618	42940
2000-01-19	19360	19430	19300	19300	10372	41584
2000-01-20	19430	19430	19290	19320	11736	41478
2000-01-21	19280	19310	19260	19300	4604	40672
2000-01-24	19270	19340	19270	19340	3260	39798
2000-01-25	19200	19230	19150	19220	6900	37966
2000-01-26	19180	19180	19100	19180	5580	35026
2000-01-27	19150	19260	19140	19230	3052	34650
2000-01-28	19250	19280	19220	19240	2394	34334
2000-01-31	19140	19180	19070	19110	3810	33126
2000-02-01	19200	19200	19120	19180	2682	31598
2000-02-02	19130	19210	19130	19170	2508	30870
2000-02-14	19200	19340	19200	19340	3206	29866
2000-02-15	19500	19540	19470	19480	8788	49384
2000-02-16	19210	19320	19190	19190	14498	52426
2000-02-17	19220	19260	19180	19200	5982	52706
2000-02-18	19290	19300	19270	19280	4042	53190
2000-02-21	19210	19250	19200	19220	3716	54250
2000-02-22	19100	19110	19020	19030	8994	52488
2000-02-23	19130	19170	19120	19150	5046	53096
2000-02-24	19270	19300	19250	19260	5256	52264
2000-02-25	19180	19250	19180	19250	3294	51500
2000-02-28	19010	19060	18960	19050	8154	50746
2000-02-29	18510	18520	18430	18490	17816	46810
2000-03-01	18460	18570	18450	18480	5330	46930
2000-03-02	18520	18550	18500	18520	2168	46680
2000-03-03	18490	18540	18490	18530	2012	46532
2000-03-06	18550	18560	18520	18530	2300	45604
2000-03-07	18530	18530	18470	18500	3130	44012
2000-03-08	18360	18360	18040	18040	9750	39462
2000-03-09	18000	18110	18000	18060	2834	38748
2000-03-10	18200	18340	18200	18320	3076	37744
2000-03-13	18240	18240	18140	18180	2980	37248
2000-03-14	18190	18200	18090	18130	2874	35660
2000-03-15	18430	18510	18430	18460	8000	49934
2000-03-16	18560	18630	18560	18610	6498	48870
2000-03-17	18750	18780	18670	18670	7736	48922
2000-03-20	18650	18710	18650	18670	4178	48492
2000-03-21	18550	18580	18500	18560	6022	48074
2000-03-22	18740	18740	18690	18700	4550	47884
2000-03-23	18660	18660	18530	18550	4314	47894
2000-03-24	18570	18610	18560	18580	2598	47790
2000-03-27	18450	18520	18430	18520	3442	48250
2000-03-28	18400	18450	18390	18450	5866	48086
2000-03-29	18400	18520	18400	18510	1996	47850
2000-03-30	18530	18550	18470	18470	2098	47574
2000-03-31	18520	18520	18460	18490	1864	47222
2000-04-03	18400	18490	18380	18480	4244	47492
2000-04-04	18440	18450	18390	18400	3552	47508
2000-04-05	18350	18350	18050	18090	9486	45452
2000-04-06	18090	18140	17980	17980	3506	44216
2000-04-07	17630	17700	17550	17680	9304	41510
2000-04-10	17700	17760	17670	17760	2860	41208
2000-04-11	17800	17820	17770	17790	1766	40840
2000-04-12	17840	17870	17690	17710	3072	40642
2000-04-13	17750	17760	17650	17710	2428	40966
2000-04-14	17600	17620	17560	17590	3826	40142
2000-04-17	17520	17600	17470	17530	19374	52972
2000-04-18	17530	17740	17500	17710	22882	54980
2000-04-19	17850	17880	17820	17880	7618	53770
2000-04-20	17880	17900	17690	17750	8426	52868
2000-04-21	17800	17820	17750	17790	1762	52688
2000-04-24	17790	17830	17790	17820	858	52538
2000-04-25	17820	17870	17770	17780	3102	52188
2000-04-26	18090	18150	18090	18140	12706	48814
2000-04-27	18050	18090	18030	18070	4648	47838
2000-04-28	18140	18160	18110	18130	6532	46098
2000-05-08	18670	18670	18490	18510	16386	41956
2000-05-09	18500	18500	18410	18420	3674	41104
2000-05-10	18440	18510	18440	18470	2084	40844
2000-05-11	18370	18370	18220	18230	9864	36544
2000-05-12	18320	18370	18310	18370	3138	35078
2000-05-15	18780	18790	18630	18650	16698	44472
2000-05-16	18570	18650	18560	18640	9406	45238
2000-05-17	18780	18780	18600	18600	14020	42384
2000-05-18	18550	18610	18510	18540	11294	41972
2000-05-19	18550	18590	18470	18570	13654	42662
2000-05-22	18530	18570	18490	18530	6166	42266
2000-05-23	18410	18450	18410	18440	8104	42132
2000-05-24	18440	18620	18400	18610	9596	40416
2000-05-25	18520	18530	18470	18490	6080	40148
2000-05-26	18410	18420	18350	18370	6322	38304
2000-05-29	18450	18450	18370	18370	3916	36188
2000-05-30	18370	18370	18300	18340	6508	35000
2000-05-31	18080	18200	18030	18040	14108	31796
2000-06-01	18190	18210	18160	18190	4894	30044
2000-06-02	18220	18220	18140	18210	2138	29014
2000-06-05	17980	18050	17960	18040	7392	28004
2000-06-06	18130	18140	18100	18130	2642	27402
2000-06-07	18110	18110	18060	18080	1084	27302
2000-06-08	17960	18000	17940	17990	4234	26316
2000-06-09	18030	18070	18030	18030	1450	26198
2000-06-12	18000	18050	18000	18010	1526	26090
2000-06-13	18000	18130	17970	17970	1678	25960
2000-06-14	18090	18150	18080	18150	1524	25538
2000-06-15	18430	18430	18380	18410	13724	52406
2000-06-16	18470	18490	18440	18490	13322	50204
2000-06-19	18570	18570	18420	18430	13478	46962
2000-06-20	18460	18490	18400	18420	7638	45812
2000-06-21	18330	18420	18310	18340	8278	44774
2000-06-22	18450	18450	18390	18410	5166	44426
2000-06-23	18320	18330	18250	18310	7342	43068
2000-06-26	18220	18240	18190	18230	2632	42736
2000-06-27	18350	18380	18330	18360	4942	41138
2000-06-28	18270	18280	18260	18270	4360	41204
2000-06-29	18320	18340	18300	18310	3212	40362
2000-06-30	18250	18290	18230	18270	2516	39644
2000-07-03	18280	18280	18210	18220	2136	38600
2000-07-04	18220	18300	18210	18300	1384	38048
2000-07-05	18250	18360	18250	18340	1906	37882
2000-07-06	18320	18380	18320	18350	2834	37044
2000-07-07	18240	18250	18210	18210	3374	35880
2000-07-10	18200	18240	18200	18200	644	35782
2000-07-11	18300	18310	18270	18290	1868	34702
2000-07-12	18300	18300	18270	18280	2114	34288
2000-07-13	18350	18360	18310	18330	2334	33710
2000-07-14	18290	18310	18290	18300	908	33712
2000-07-17	18440	18470	18430	18460	3586	49500
2000-07-18	18660	18810	18660	18790	28370	53524
2000-07-19	18730	18810	18730	18800	9698	52304
2000-07-20	18760	18760	18730	18740	9280	52356
