"Index","high","low","close","bid","ask","volume"
2012-02-03 13:09:59,2493.8,2474,2491,2490.4,2491,42995
2012-02-03 13:10:59,2493.8,2474,2491.2,2491.2,2491.4,43098
2012-02-03 13:11:59,2493.8,2474,2490.2,2489.8,2490.2,43188
2012-02-03 13:12:59,2493.8,2474,2489.8,2489.8,2490,43251
2012-02-03 13:13:59,2496.2,2474,2495.6,2495,2495.6,43681
2012-02-03 13:14:59,2498.6,2474,2497.4,2497,2497.4,44122
2012-02-03 13:15:59,2499,2474,2497.2,2496.6,2497.2,44088
2012-02-03 13:16:59,2499,2474,2496,2496,2496.2,44163
2012-02-03 13:17:59,2499,2474,2494.4,2494,2494.4,44206
2012-02-03 13:18:59,2499,2474,2495.6,2495.6,2495.8,44284
2012-02-03 13:19:59,2499,2474,2495.6,2495.4,2495.6,44453
2012-02-03 13:20:59,2499,2474,2497.4,2497.2,2497.4,44600
2012-02-03 13:21:59,2499.8,2474,2498.2,2498.4,2498.6,44821
2012-02-03 13:22:59,2500,2474,2496,2495.6,2496,45145
2012-02-03 13:23:59,2500,2474,2496.8,2496.8,2497,45249
2012-02-03 13:24:59,2500,2474,2499,2498.8,2499,45344
2012-02-03 13:25:59,2503,2474,2502,2501.6,2502,45547
2012-02-03 13:26:59,2503.6,2474,2501.6,2501.6,2501.8,45878
2012-02-03 13:27:59,2503.6,2474,2502.4,2502.4,2502.6,46074
2012-02-03 13:28:59,2503.8,2474,2499.6,2499.6,2499.8,46168
2012-02-03 13:29:59,2503.8,2474,2499.4,2499.2,2499.4,46204
2012-02-03 13:30:59,2503.8,2474,2501.6,2501.6,2501.8,46297
2012-02-03 13:31:59,2503.8,2474,2496,2495.4,2496.2,45657
2012-02-03 13:32:59,2503.8,2474,2496.8,2496.6,2496.8,45732
2012-02-03 13:33:59,2503.8,2474,2496.8,2496.8,2497.2,45774
2012-02-03 13:34:59,2510,2474,2508,2506.4,2508,46069
2012-02-03 13:35:59,2513.6,2474,2510.6,2510.6,2511.4,46590
2012-02-03 13:36:59,2516.8,2474,2514.2,2514,2514.2,46687
2012-02-03 13:37:59,2518.8,2474,2518,2517.6,2518,47072
2012-02-03 13:38:59,2518.8,2474,2515,2514.8,2515,47080
2012-02-03 13:39:59,2518.8,2474,2514,2514,2514.4,47035
2012-02-03 13:40:59,2518.8,2474,2514,2514,2514.2,47123
2012-02-03 13:41:59,2518.8,2474,2514.6,2514.2,2514.4,47465
2012-02-03 13:42:59,2518.8,2474,2515.4,2515.2,2515.4,47842
2012-02-03 13:43:59,2518.8,2474,2515.2,2515.2,2515.4,48074
2012-02-03 13:44:59,2523.8,2474,2520.2,2520.2,2520.4,48523
2012-02-03 13:45:59,2523.8,2474,2519.4,2519.2,2519.4,48649
2012-02-03 13:46:59,2523.8,2474,2518,2517.8,2518,48893
2012-02-03 13:47:59,2523.8,2474,2513,2512.8,2513,48366
2012-02-03 13:48:59,2523.8,2474,2515,2514.8,2515.2,48524
2012-02-03 13:49:59,2523.8,2474,2515,2515,2515.2,48483
2012-02-03 13:50:59,2523.8,2474,2517,2517,2517.2,48419
2012-02-03 13:51:59,2523.8,2474,2517,2517,2517.8,48459
2012-02-03 13:52:59,2523.8,2474,2515.4,2514.8,2515.4,48487
2012-02-03 13:53:59,2523.8,2474,2518,2517.8,2518,48571
2012-02-03 13:54:59,2524.8,2474,2524,2523.6,2524,49033
2012-02-03 13:55:59,2524.8,2474,2521,2520.8,2521,49282
2012-02-03 13:56:59,2524.8,2474,2516.6,2516.6,2517,48997
2012-02-03 13:57:59,2524.8,2474,2515.8,2515.8,2516,49085
2012-02-03 13:58:59,2524.8,2474,2516.4,2516.2,2516.4,49044
2012-02-03 13:59:59,2524.8,2474,2517.2,2517.2,2517.6,49208
2012-02-03 14:00:59,2524.8,2474,2515.8,2515.8,2516,49185
2012-02-03 14:01:59,2524.8,2474,2511,2510.8,2511.2,48954
2012-02-03 14:02:59,2524.8,2474,2510.4,2510.2,2510.4,47684
2012-02-03 14:03:59,2524.8,2474,2512.4,2512.4,2512.6,47518
2012-02-03 14:04:59,2524.8,2474,2512,2512,2512.4,47451
2012-02-03 14:05:59,2524.8,2474,2517,2516.8,2517,47566
2012-02-03 14:06:59,2524.8,2474,2517.8,2517.8,2518.2,47826
2012-02-03 14:07:59,2524.8,2474,2517.6,2517.4,2517.6,47961
2012-02-03 14:08:59,2524.8,2474,2517,2516.4,2517,48029
2012-02-03 14:09:59,2524.8,2474,2518.6,2518.6,2518.8,48159
2012-02-03 14:10:59,2524.8,2474,2516.8,2516.8,2517,48264
2012-02-03 14:11:59,2524.8,2474,2515.2,2515.2,2515.4,48107
2012-02-03 14:12:59,2524.8,2474,2517.8,2517.6,2517.8,48149
2012-02-03 14:13:59,2524.8,2474,2521.2,2521,2521.2,48311
2012-02-03 14:14:59,2524.8,2474,2518,2518,2518.2,48296
2012-02-03 14:15:59,2524.8,2474,2519,2519,2519.2,48383
2012-02-03 14:16:59,2524.8,2474,2517.4,2517.2,2517.6,48440
2012-02-03 14:17:59,2524.8,2474,2518.2,2518.2,2518.4,48525
2012-02-03 14:18:59,2524.8,2474,2517.6,2517.4,2517.6,48570
2012-02-03 14:19:59,2524.8,2474,2515.2,2515.2,2515.4,48360
2012-02-03 14:20:59,2524.8,2474,2515,2515,2515.2,48046
2012-02-03 14:21:59,2524.8,2474,2517.8,2518,2518.2,48067
2012-02-03 14:22:59,2524.8,2474,2518.4,2518.4,2518.6,48122
2012-02-03 14:23:59,2524.8,2474,2517,2516.8,2517,48158
2012-02-03 14:24:59,2524.8,2474,2517.4,2517.2,2517.4,48258
2012-02-03 14:25:59,2524.8,2474,2519.2,2519.2,2519.4,48317
2012-02-03 14:26:59,2524.8,2474,2522.6,2522,2522.6,48386
2012-02-03 14:27:59,2527.6,2474,2525.6,2525.6,2525.8,48330
2012-02-03 14:28:59,2527.6,2474,2524.6,2524.4,2524.6,48419
2012-02-03 14:29:59,2527.6,2474,2524,2523.8,2524,48316
2012-02-03 14:30:59,2527.6,2474,2523,2522.6,2523,48090
2012-02-03 14:31:59,2527.6,2474,2520,2520,2520.2,47572
2012-02-03 14:32:59,2527.6,2474,2521.6,2521.6,2521.8,47603
2012-02-03 14:33:59,2527.6,2474,2522,2522.2,2522.8,47596
2012-02-03 14:34:59,2527.6,2474,2520.8,2520.8,2521.2,47656
2012-02-03 14:35:59,2527.6,2474,2521.4,2521.4,2521.8,47733
2012-02-03 14:36:59,2527.6,2474,2522.2,2522,2522.4,47861
2012-02-03 14:37:59,2527.6,2474,2523.8,2523.4,2523.6,48003
2012-02-03 14:38:59,2527.6,2474,2523.8,2523.6,2523.8,48190
2012-02-03 14:39:59,2527.6,2474,2523.6,2523.6,2524,48199
2012-02-03 14:40:59,2527.6,2474,2522.8,2522.4,2522.8,48176
2012-02-03 14:41:59,2527.6,2474,2520.4,2520,2520.6,48007
2012-02-03 14:42:59,2527.6,2474,2520.4,2520.2,2520.4,47992
2012-02-03 14:43:59,2527.6,2474,2520.2,2520,2520.2,47920
2012-02-03 14:44:59,2527.6,2474,2517,2517,2517.4,47196
2012-02-03 14:45:59,2527.6,2474,2516.6,2516.2,2516.6,47169
